file,teff,log_g,he_label,url
T150000_g6.5_He0.5.txt,150000,6.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.500_0.500_003000-055000_2020-01-20_15_55_21.txt
T150000_g6.5_He0.7.txt,150000,6.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.300_0.700_003000-055000_2020-01-20_15_46_37.txt
T150000_g6.5_He0.9.txt,150000,6.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.100_0.900_003000-055000_2020-01-20_15_38_12.txt
T150000_g6.5_He1.0.txt,150000,6.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.000_1.000_003000-055000_2020-01-20_15_34_25.txt
T150000_g7.0_He0.0.txt,150000,7.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_1.000_0.000_003000-055000_2020-01-20_16_17_21.txt
T150000_g7.0_He0.1.txt,150000,7.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.900_0.100_003000-055000_2020-01-20_16_13_04.txt
T150000_g7.0_He0.3.txt,150000,7.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.700_0.300_003000-055000_2020-01-20_16_04_27.txt
T150000_g7.0_He0.5.txt,150000,7.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.500_0.500_003000-055000_2020-01-20_15_55_52.txt
T150000_g7.0_He0.7.txt,150000,7.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.300_0.700_003000-055000_2020-01-20_15_47_03.txt
T150000_g7.0_He0.9.txt,150000,7.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.100_0.900_003000-055000_2020-01-20_15_38_54.txt
T150000_g7.0_He1.0.txt,150000,7.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.00_0.000_1.000_003000-055000_2020-01-20_15_34_51.txt
T150000_g7.5_He0.0.txt,150000,7.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_1.000_0.000_003000-055000_2020-01-20_16_17_51.txt
T150000_g7.5_He0.1.txt,150000,7.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.900_0.100_003000-055000_2020-01-20_16_13_45.txt
T150000_g7.5_He0.3.txt,150000,7.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.700_0.300_003000-055000_2020-01-20_16_05_12.txt
T150000_g7.5_He0.5.txt,150000,7.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.500_0.500_003000-055000_2020-01-20_15_56_33.txt
T150000_g7.5_He0.7.txt,150000,7.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.300_0.700_003000-055000_2020-01-20_15_47_30.txt
T150000_g7.5_He0.9.txt,150000,7.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.100_0.900_003000-055000_2020-01-20_15_39_16.txt
T150000_g7.5_He1.0.txt,150000,7.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_7.50_0.000_1.000_003000-055000_2020-01-20_15_35_07.txt
T150000_g8.0_He0.0.txt,150000,8.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_1.000_0.000_003000-055000_2020-01-20_16_18_27.txt
T150000_g8.0_He0.1.txt,150000,8.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.900_0.100_003000-055000_2020-01-20_16_14_04.txt
T150000_g8.0_He0.3.txt,150000,8.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.700_0.300_003000-055000_2020-01-20_16_05_32.txt
T150000_g8.0_He0.5.txt,150000,8.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.500_0.500_003000-055000_2020-01-20_15_56_55.txt
T150000_g8.0_He0.7.txt,150000,8.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.300_0.700_003000-055000_2020-01-20_15_48_07.txt
T150000_g8.0_He0.9.txt,150000,8.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.100_0.900_003000-055000_2020-01-20_15_39_40.txt
T150000_g8.0_He1.0.txt,150000,8.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_8.00_0.000_1.000_003000-055000_2020-01-20_15_35_36.txt
T170000_g6.5_He0.0.txt,170000,6.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_1.000_0.000_003000-055000_2020-01-20_16_16_46.txt
T170000_g6.5_He0.1.txt,170000,6.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.900_0.100_003000-055000_2020-01-20_16_12_34.txt
T170000_g6.5_He0.3.txt,170000,6.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.700_0.300_003000-055000_2020-01-20_16_04_08.txt
T170000_g6.5_He0.5.txt,170000,6.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.500_0.500_003000-055000_2020-01-20_15_55_23.txt
T170000_g6.5_He0.7.txt,170000,6.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.300_0.700_003000-055000_2020-01-20_15_46_44.txt
T170000_g6.5_He0.9.txt,170000,6.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.100_0.900_003000-055000_2020-01-20_15_38_20.txt
T170000_g6.5_He1.0.txt,170000,6.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_6.50_0.000_1.000_003000-055000_2020-01-20_15_34_37.txt
T170000_g7.0_He0.0.txt,170000,7.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_7.00_1.000_0.000_003000-055000_2020-01-20_16_17_21.txt
T170000_g7.0_He0.1.txt,170000,7.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_7.00_0.900_0.100_003000-055000_2020-01-20_16_13_06.txt
T170000_g7.0_He0.3.txt,170000,7.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_7.00_0.700_0.300_003000-055000_2020-01-20_16_04_28.txt
T170000_g7.0_He0.5.txt,170000,7.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0170000_7.00_0.500_0.500_003000-055000_2020-01-20_15_55_55.txt
